id	body_url	category_program	condition	description_long	description_short	image_url	in_stock	name	price	quantity_in_stock
00974	https://www.pureromance.com/Shop/Massage/Heart-Massager-Heart-Shaped-Heat-Pack	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Soothe your partner&rsquo;s body, then bring it close to yours with this simple-to-use heated massage pack. At 129&deg; F, the only thing hotter is your desire!	Heart-Shaped Heat Pack	https://www.pureromance.com/getmetafile/fb03ce80-ecc7-4f78-ae39-a59c74731ec9/HeartMassager_0416.aspx	True	Heart Massager Heart Shaped Heat Pack	16	3944
02459	https://www.pureromance.com/Shop/Sex-Health/Vaginal-Dilator-Tapered-Silicone-Dilators	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	The Pure Romance Vaginal Dilator Set includes six tapered, 100% silicone vaginal dilators used to slowly stretch the vaginal walls.	Tapered Silicone Vaginal Dilators	https://www.pureromance.com/getmetafile/7e5b6e07-e862-4e5d-8789-aefcf60af652/DilatorSet_0416.aspx	True	Vaginal Dilator Tapered Silicone Dilators	99	36
02585	https://www.pureromance.com/Shop/Sex-Toys/Dildos/LOL-Non-Vibrating-Strap-On-Dildo		new	This strap-on non-vibrating dildo will show you some Love. Lots of Love.	Non-Vibrating Strap-On Dildo	https://www.pureromance.com/getmetafile/d2118f66-c011-4be8-9a9e-846417ac40e4/LOL_0416.aspx	True	LOL Non Vibrating Strap On Dildo	39	13
02608	https://www.pureromance.com/Shop/Couples/Bondage-Roleplay/Cozy-Cuffs-Fur-Lined-Handcuffs-Black	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Seductive and strong,&nbsp;Cozy Cuffs are perfect for when you want to surrender to your lover or want your lover to surrender to you.	Fur-Lined Handcuffs	https://www.pureromance.com/getmetafile/7c4545cd-37bf-483b-a2b5-8ba90ff75d18/CozyCuffs_Black_0416.aspx	True	Cozy Cuffs Fur Lined Handcuffs Black	20	63
02621	https://www.pureromance.com/Shop/Couples/Sex-Games/Date-Night-Game-Intimacy-Enhancing-Card-Game		new	Date Night includes conversation cards so you have a reason to ask your partner anything you&rsquo;ve ever wanted to know without feeling embarrassed. Action cards permit you to get creative in the boudoir.	Intimacy-Enhancing Card Game	https://www.pureromance.com/getmetafile/0da6d7e8-68d7-44b4-8f9e-47c90479adfc/DateNight_0416.aspx	True	Date Night Game Intimacy Enhancing Card Game	15	77
02655	https://www.pureromance.com/Shop/Books/Pure-Romance-Between-the-Sheets-Patty-Brisbens-Fir	Health & Beauty > Personal Care > Cosmetics > Bath & Body	new	Pure Romance Founder and&nbsp;Chairwoman Patty Brisben&rsquo;s first book. Celebrate the journey of sexuality and empowerment with a book that covers intimacy, bedroom toys, lubricants, sexual health and the importance of communication in and out of the bedroom.&nbsp;	Patty Brisben&#39;s First Book	https://www.pureromance.com/getmetafile/d8511413-0dde-4310-87d7-d20c28e5ed10/BTSBook_0416.aspx	True	Pure Romance Between the Sheets Patty Brisbens First Book	24	41
03034	https://www.pureromance.com/Shop/Couples/Bondage-Roleplay/Frequent-Flier-Door-Swing-Instant-Position-Aid	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Unlock position perfection with the Frequent Flier Sex Swing and turn any ordinary doorway into a blissful, weightless paradise.	Instant Position Aid	https://www.pureromance.com/getmetafile/4c835b73-7b95-4e50-8479-5f7ab7cb645b/FrequentFlyerDoorSwing_0416.aspx	True	Frequent Flier Door Swing Instant Position Aid	89	47
03035	https://www.pureromance.com/Shop/Couples/Bondage-Roleplay/Bed-Bondage-and-Beyond-Soft-Restraint-System	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	What&rsquo;s under your bed? A shoebox of love letters? Lost socks? Replace those with Bed, Bondage and Beyond, a simple-to-use bondage and fantasy setup that slips right under your mattress!	Soft Restraint System	https://www.pureromance.com/getmetafile/d235ce2d-e21c-4fbf-8048-f006648d6e1d/BedBondageBeyond_0416.aspx	True	Bed Bondage and Beyond Soft Restraint System	49	105
03287	https://www.pureromance.com/Shop/Lube-Creams/Enhancement-Creams/Pure-Enhancement-Cream-for-Sensitive-Women	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Pure is the #1 choice for sensitive women looking to intensify their intimate moments. This signature blend of natural oils and botanical extracts in combination with TriPlex Tingle&trade; helps provide thrilling pleasure.	Enhancement Cream for Sensitive Women	https://www.pureromance.com/getmetafile/b6b05c04-6d82-4528-9f24-827f6b93443b/Pure_Original_0416.aspx	True	Pure Enhancement Cream for Sensitive Women	20	36
03338	https://www.pureromance.com/Shop/Lube-Creams/Enhancement-Creams/Boost-Flavored-Enhancement-Cream-Strawberry	Health & Beauty  Personal Care  Cosmetics  Bath & Body	new	Magnify every passionate moment with an arousing formula that includes the Pure Romance exclusive TriPlex Tingle&trade;. This rich, flavored enhancement cream can help provide the boost you desire.	Flavored Enhancement Cream	https://www.pureromance.com/getmetafile/d8395886-73f7-4a8a-ad0c-a2e008d7626a/Boost_Strawberry_0416.aspx	True	Boost Flavored Enhancement Cream Strawberry	20	87
